user_count,user_count_count
1,2641
2,945
3,645
4,472
5,549
6,468
7,470
8,512
9,503
10,555
11,418
12,389
13,278
14,205
15,172
16,134
17,101
18,117
19,114
20,97
21,111
22,113
23,124
24,89
25,67
26,58
27,72
28,69
29,82
30,78
31,62
32,85
33,88
34,93
35,97
36,104
37,122
38,162
39,201
40,231
41,225
42,218
43,196
44,229
45,232
46,231
47,217
48,253
49,264
50,255
51,243
52,207
53,176
54,161
55,106
56,90
57,73
58,48
59,34
60,28
61,27
62,25
63,14
64,16
65,12
66,7
67,9
68,4
69,1
70,3
71,2
72,6
73,3
74,2
75,1
76,1
77,1
79,2
80,4
81,2
82,3
85,1
86,1
88,3
89,1
91,1
93,1
95,3
96,1
98,1
99,1
108,1
109,1
110,3
111,1
115,2
119,1
121,1
125,1
130,1
132,1
134,1
137,1
155,1
