id,USERID,DEPARTMENT,TIMESTAMPS,EVENTID,TERMINALSN,ACCESSMETHOD,REMARKS,TERMINALIP,PHOTO,PHOTOSIZE,RECLOGDTM,RECLOGFROMIP,LOCAL_TIMESTAMP,PhotoPath
682750,Unknown User,,2016-07-28 10:37:29.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-28 13:37:30.000,10.0.170.250,2016-07-28 13:37:29.000,NULL
683175,Unknown User,,2016-07-30 06:20:35.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-30 09:33:40.000,10.0.170.250,2016-07-30 09:20:35.000,NULL
683188,Unknown User,,2016-07-30 06:52:16.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-30 09:52:17.000,10.0.170.250,2016-07-30 09:52:16.000,NULL
684642,Unknown User,,2016-07-31 10:03:30.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:46.000,10.0.170.250,2016-07-31 13:03:30.000,NULL
684643,Unknown User,,2016-07-31 10:03:49.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:46.000,10.0.170.250,2016-07-31 13:03:49.000,NULL
684644,Unknown User,,2016-07-31 10:03:51.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:03:51.000,NULL
684645,Unknown User,,2016-07-31 10:03:54.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:03:54.000,NULL
684646,Unknown User,,2016-07-31 10:04:07.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:04:07.000,NULL
684647,Unknown User,,2016-07-31 10:04:15.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:04:15.000,NULL
684648,Unknown User,,2016-07-31 10:04:55.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:04:55.000,NULL
684649,Unknown User,,2016-07-31 10:05:20.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:20.000,NULL
684650,Unknown User,,2016-07-31 10:05:34.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:34.000,NULL
684651,Unknown User,,2016-07-31 10:05:36.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:36.000,NULL
684652,Unknown User,,2016-07-31 10:05:37.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:37.000,NULL
684653,Unknown User,,2016-07-31 10:05:38.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:38.000,NULL
684654,Unknown User,,2016-07-31 10:05:39.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:39.000,NULL
684655,Unknown User,,2016-07-31 10:05:41.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:41.000,NULL
684656,Unknown User,,2016-07-31 10:05:44.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:44.000,NULL
684657,Unknown User,,2016-07-31 10:05:49.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:49.000,NULL
684658,Unknown User,,2016-07-31 10:05:58.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:05:58.000,NULL
684659,Unknown User,,2016-07-31 10:06:01.000,CASE-IS-CLOSED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:06:01.000,NULL
684660,Unknown User,,2016-07-31 10:06:03.000,CASE-IS-OPENED,00111DA0ECC0,RDOOR,"#RDOOR# ",00111DA0ECC0,NULL,0,2016-07-31 13:19:47.000,10.0.170.250,2016-07-31 13:06:03.000,NULL
