USERID,e_month,e_day
034,4,20
034,4,21
034,4,24
034,4,25
034,4,26
034,4,27
034,4,28
034,5,1
034,5,2
034,5,3
034,5,4
034,5,5
034,5,8
034,5,9
034,5,10
034,5,11
034,5,12
034,5,15
034,5,16
034,5,17
034,5,18
034,5,19
034,5,22
034,5,23
034,5,25
034,5,26
034,5,29
034,5,30
034,5,31
034,6,1
034,6,2
034,6,5
034,6,6
034,6,7
034,6,8
034,6,9
034,6,12
034,6,13
034,6,14
034,6,15
034,6,16
034,6,21
034,6,26
034,6,28
034,6,30
0362,4,17
0362,4,18
0362,4,19
0362,4,20
0362,4,21
0362,4,24
0362,4,25
0362,4,26
0362,4,27
0362,4,28
0362,5,1
0362,5,2
0362,5,3
0362,5,4
0362,5,5
0362,5,8
0362,5,9
0362,5,10
0362,5,11
0362,5,12
0362,5,15
0362,5,16
0362,5,17
0362,5,19
0362,5,22
0362,5,23
0362,5,24
0362,5,25
0362,5,26
0362,5,31
0362,6,2
0362,6,5
0362,6,7
0362,6,8
0362,6,9
0362,6,12
0362,6,13
0362,6,14
0362,6,15
0362,6,16
0362,6,19
0362,6,20
0362,6,21
0362,6,22
0362,6,23
0362,6,26
0362,6,30
059,4,19
059,5,1
059,5,2
059,5,3
059,5,4
059,5,5
059,5,8
059,5,9
059,5,10
059,5,11
059,5,12
059,5,15
059,5,16
059,5,17
059,5,18
059,5,19
059,5,22
059,5,23
059,5,24
059,5,26
059,5,29
059,5,30
059,5,31
059,6,1
059,6,2
059,6,5
059,6,8
059,6,9
059,6,12
059,6,13
059,6,14
059,6,15
059,6,16
059,6,19
059,6,20
059,6,21
059,6,26
059,6,28
059,6,30
092,4,24
092,4,25
092,4,26
092,4,27
092,5,1
092,5,2
092,5,4
092,5,5
092,5,8
092,5,9
092,5,10
092,5,11
092,5,12
092,5,15
092,5,16
092,5,17
092,5,18
092,5,19
092,5,22
092,5,23
092,5,24
092,5,25
092,5,26
092,5,29
092,5,30
092,5,31
092,6,1
092,6,2
092,6,5
092,6,6
092,6,7
092,6,8
092,6,9
092,6,11
092,6,15
092,6,19
092,6,21
092,6,26
092,6,28
092,6,30
10010,4,18
10010,4,19
10010,4,20
10010,4,21
10010,4,24
10010,4,25
10010,4,26
10010,4,27
10010,4,28
10010,5,1
10010,5,2
10010,5,3
10010,5,4
10010,5,5
10010,5,8
10010,5,9
10010,5,10
10010,5,11
10010,5,12
10010,5,15
10010,5,16
10010,5,17
10010,5,18
10010,5,19
10010,5,22
10010,5,23
10010,5,24
10010,5,25
10010,5,26
10010,5,29
10010,5,30
10010,5,31
10010,6,1
10010,6,2
10010,6,5
10010,6,6
10010,6,7
10010,6,21
10010,6,22
10010,6,23
10010,6,28
10010,6,29
10010,6,30
10012,5,1
10012,5,2
10012,5,3
10012,5,4
10012,5,5
10012,5,10
10012,5,11
10012,5,12
10012,5,15
10012,5,16
10012,5,17
10012,5,18
10012,5,19
10012,5,22
10012,5,23
10012,5,24
10012,5,25
10012,5,26
10012,5,29
10012,5,30
10012,5,31
10012,6,1
10012,6,2
10012,6,5
10012,6,6
10012,6,7
10012,6,8
10012,6,9
10012,6,16
10012,6,21
10012,6,22
10012,6,23
10012,6,27
10012,6,29
10012,6,30
100169,3,27
100169,5,1
100169,5,2
100169,5,3
100169,5,4
100169,5,5
100169,5,8
100169,5,9
100169,5,10
100169,5,11
100169,5,12
100169,5,15
100169,5,16
100169,5,17
100169,5,18
100169,5,19
100169,5,22
100169,5,23
100169,5,24
100169,5,25
100169,5,26
100169,5,29
100169,5,30
100169,5,31
100169,6,1
100169,6,2
100169,6,5
100169,6,6
100169,6,7
100169,6,8
100169,6,9
100169,6,12
100169,6,13
100169,6,14
100169,6,15
100169,6,16
100169,6,19
100169,6,20
100169,6,21
100169,6,22
100169,6,23
100169,6,26
100169,6,27
100169,6,29
100169,6,30
100170,3,31
100170,5,1
100170,5,2
100170,5,3
100170,5,4
100170,5,5
100170,5,8
100170,5,9
100170,5,10
100170,5,11
100170,5,12
100170,5,15
100170,5,16
100170,5,17
100170,5,18
100170,5,19
100170,5,22
100170,5,23
100170,5,24
100170,5,25
100170,5,26
100170,5,29
100170,5,30
100170,5,31
100170,6,1
100170,6,2
100170,6,5
100170,6,6
100170,6,7
100170,6,8
100170,6,9
100170,6,12
100170,6,13
100170,6,14
100170,6,15
100170,6,16
100170,6,19
100170,6,20
100170,6,21
100170,6,22
100170,6,23
100170,6,26
100170,6,27
100170,6,28
100171,3,27
100171,5,1
100171,5,2
100171,5,3
100171,5,4
100171,5,5
100171,5,8
100171,5,10
100171,5,11
100171,5,12
100171,5,15
100171,5,16
100171,5,17
100171,5,18
100171,5,19
100171,5,22
100171,5,23
100171,5,24
100171,5,25
100171,5,26
100171,5,29
100171,5,30
100171,5,31
100171,6,1
100171,6,2
100171,6,5
100171,6,6
100171,6,7
100171,6,8
100171,6,9
100171,6,12
100171,6,13
100171,6,14
100171,6,15
100171,6,16
100171,6,19
100171,6,20
100171,6,21
100171,6,22
100171,6,23
100171,6,26
100171,6,27
100171,6,28
100171,6,30
100174,4,24
100174,4,25
100174,4,27
100174,4,28
100174,5,1
100174,5,2
100174,5,3
100174,5,4
100174,5,5
100174,5,8
100174,5,9
100174,5,10
100174,5,11
100174,5,12
100174,5,15
