USERID,usercount
001,4
0066,16
0100,78
034,88
0362,94
057,33
059,88
073,39
091,22
092,80
096,31
10006,2
10009,34
10010,85
10012,71
10013,28
100169,88
100170,86
100171,88
100172,9
100174,92
100179,22
100189,10
100195,2
100196,35
100198,4
100201,11
100202,33
100204,77
100208,26
10021,79
100212,18
100214,2
100215,95
100218,1
10022,7
100220,1
100222,2
100223,1
100225,47
100226,16
100233,69
100234,1
100241,68
100242,33
100244,25
100245,17
10025,34
10029,59
10030,105
10031,2
10034,48
10035,14
10041,103
100423,20
100429,7
10043,43
100430,10
10045,6
10046,61
100518,12
100519,3
100521,3
100522,20
100523,2
100524,91
100525,98
100526,4
100528,46
10054,13
100543,89
100544,85
100549,25
100555,94
100557,45
100558,4
10056,10
100560,99
100561,105
100567,20
100568,19
100569,79
10059,3
10060,85
10061,9
100614,100
100616,129
100639,13
100641,65
100642,98
100643,75
100644,112
100646,1
100647,9
100650,112
100652,111
100655,19
100656,13
10066,9
100661,88
100662,17
100663,18
10068,87
1007,60
100735,1
100737,5
100738,25
100739,6
100740,2
100742,14
100743,95
10076,82
10077,89
10078,24
10081,9
100816,13
10082,4
10087,12
1009,95
10090,99
10091,3
10092,18
100938,87
100940,11
10095,6
10096,1
10099,1
10100,1
101004,79
101005,82
101022,8
10104,79
101044,103
10105,41
101051,7
101052,12
101053,8
101054,9
101055,8
101056,85
101059,88
10106,77
101060,83
10111,30
101118,13
101119,14
10112,21
101120,16
101121,14
101122,15
101123,12
101124,24
10114,5
10115,67
10117,111
101170,19
101171,13
101172,34
101173,1
10119,84
1012,51
10122,17
10123,1
101247,18
101248,9
101254,41
10126,96
101261,21
10127,2
101276,83
101278,93
101293,1
101298,1
101300,86
101303,112
101306,88
101308,91
101309,3
101317,6
101318,4
101319,10
101321,94
101329,6
101330,15
101334,87
101335,88
10134,77
10137,71
101370,25
101375,85
101378,109
10138,1
101380,95
101381,103
101383,6
101384,99
101385,102
101386,2
101395,64
101396,101
10140,4
101401,1
101403,1
101409,1
10141,79
101414,89
101415,89
101418,100
10142,3
10144,14
101441,4
101443,116
101444,52
10145,1
101450,70
101454,1
101456,1
101457,2
101466,92
101467,1
101468,78
101471,85
101472,34
101479,76
101481,13
101486,18
101491,1
101492,86
101493,1
10150,1
101505,1
101506,1
101508,85
101509,1
10151,85
101512,1
101513,95
101514,4
10152,111
101520,102
101524,91
101525,47
101531,3
101532,84
101533,84
101535,4
101547,98
10156,61
10157,17
101572,15
101577,7
101580,90
101581,33
101582,150
101585,104
101587,4
101589,74
10159,4
101590,101
101591,79
101594,101
101595,77
101598,90
101603,81
101605,29
101607,3
101611,19
101612,17
101613,94
101621,1
101623,2
101626,79
10163,44
101638,14
10164,49
101645,55
101646,13
10165,14
101652,1
101654,6
101659,43
101660,21
101664,3
101665,93
101666,4
101667,3
101668,3
101672,98
101674,3
101675,3
101676,3
10168,12
10169,1
101694,2
101695,2
101696,89
1017,17
101704,91
101706,47
101707,2
10171,20
101712,7
101714,1
101715,1
101716,96
101717,96
101729,11
101732,1
101736,13
101737,88
101740,8
101742,7
101743,1
101745,76
101747,67
101748,68
101749,3
101750,1
101751,1
101766,85
101768,1
101770,1
101771,2
101772,21
101773,18
101777,34
101778,107
101780,20
101781,105
101784,104
101788,4
101796,56
1018,44
101802,40
101803,1
101808,24
101809,24
10181,93
101816,22
101817,18
101820,17
101826,74
101827,7
10183,2
101830,13
101831,68
101845,2
101846,100
101849,54
101858,120
101868,83
10187,100
101870,11
101871,1
101872,22
101884,10
101886,12
101888,83
10189,102
101890,3
101894,50
101895,1
10190,1
101927,1
101929,4
101931,84
101932,1
101941,23
101949,8
101962,1
101963,19
10198,36
101982,19
101984,1
101986,5
